Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,Distance_description,Price_frequence,mean_price_deviation
BMW,5 Series,2003,Sedan,250000.0,3000.0,Petrol,Automatic,7490.0,18,13888.888888888889,0,2,-0.272
Dacia,Logan,2014,Sedan,195000.0,1200.0,Metan/Propan,Manual,3999.0,7,27857.14285714286,2,0,0.17
Dacia,Duster,2015,SUV,170000.0,1500.0,Diesel,Manual,8800.0,6,28333.33333333333,2,2,0.021
Volkswagen,Golf,2010,Universal,191500.0,1400.0,Petrol,Manual,5700.0,11,17409.090909090908,2,2,-0.005
Volkswagen,Passat,1991,Sedan,292000.0,1800.0,Petrol,Manual,1150.0,30,9733.333333333334,0,0,-0.824
BMW,3 Series,2004,Sedan,250000.0,2000.0,Diesel,Manual,4499.0,17,14705.882352941177,0,0,-0.351
Nissan,Qashqai,2015,Crossover,158000.0,1500.0,Diesel,Manual,11750.0,6,26333.33333333333,2,2,0.086
Peugeot,3008,2018,Crossover,132000.0,1500.0,Diesel,Automatic,16500.0,3,44000.0,1,5,
BMW,X5,2005,SUV,260500.0,3000.0,Petrol,Automatic,8999.0,16,16281.25,0,2,-0.53
Renault,Megane,2005,Universal,11111.0,1500.0,Diesel,Manual,3200.0,16,694.4375,1,0,-0.43
Nissan,Qashqai,2013,SUV,180000.0,1500.0,Diesel,Manual,8999.0,8,22500.0,2,2,-0.168
Ford,Transit Connect,2012,Minivan,151658.0,1800.0,Diesel,Manual,3899.0,9,16850.88888888889,2,0,-0.18
Renault,Scenic,2015,Microvan,185480.0,1461.0,Diesel,Manual,7550.0,6,30913.33333333333,2,2,0.372
BMW,7 Series,2009,Sedan,215210.0,3000.0,Diesel,Automatic,16500.0,12,17934.166666666668,0,2,-0.041
Volkswagen,Polo,2007,Hatchback,305988.0,1400.0,Diesel,Manual,3250.0,14,21856.285714285717,0,0,-0.288
BMW,5 Series,2014,Sedan,231250.0,2000.0,Diesel,Automatic,18000.0,7,33035.71428571428,0,2,0.749
Vaz,2121niva,2004,Minivan,12000.0,1700.0,Petrol,Manual,1800.0,17,705.8823529411765,1,0,-0.422
BMW,5 Series,1998,Sedan,11111.0,2500.0,Petrol,Manual,3200.0,23,483.0869565217391,1,0,-0.689
Nissan,Pulsar,2014,Hatchback,87100.0,1200.0,Petrol,Manual,7950.0,7,12442.857142857143,1,5,
Toyota,Avensis,2000,Sedan,420000.0,1600.0,Metan/Propan,Manual,2999.0,21,20000.0,0,0,-0.577
Honda,CR-V,2002,Universal,275100.0,2000.0,Petrol,Manual,5900.0,19,14478.947368421052,0,2,-0.528
BMW,5 Series,2015,Sedan,180236.0,2000.0,Diesel,Automatic,21500.0,6,30039.33333333333,2,2,1.089
Honda,CR-V,2010,Crossover,183000.0,2200.0,Diesel,Manual,12999.0,11,16636.363636363636,2,2,0.039
Nissan,Note,2011,Hatchback,195000.0,1500.0,Diesel,Manual,5250.0,10,19500.0,2,2,0.091
Volkswagen,Passat,1993,Universal,311254.0,2000.0,Metan/Propan,Manual,29000.0,28,11116.214285714286,0,2,3.439
Opel,Astra,2010,Hatchback,190000.0,1300.0,Diesel,Manual,6500.0,11,17272.727272727272,2,2,0.473
Skoda,Rapid,2016,Universal,116000.0,1598.0,Petrol,Automatic,10300.0,5,23200.0,1,2,0.304
Volkswagen,Sharan,2006,Minivan,250000.0,2000.0,Diesel,Manual,6900.0,15,16666.666666666668,0,2,0.05
Nissan,Qashqai,2015,Crossover,149000.0,1200.0,Petrol,Automatic,12500.0,6,24833.33333333333,2,2,0.156
Skoda,Superb,2016,Sedan,170000.0,2000.0,Diesel,Automatic,17490.0,5,34000.0,2,2,0.317
Toyota,Land Cruiser,2001,SUV,250000.0,4700.0,Metan/Propan,Automatic,9990.0,20,12500.0,0,2,-0.661
Toyota,Corolla,2006,Universal,256000.0,1400.0,Diesel,Manual,5490.0,15,17066.666666666668,0,2,-0.037
Mazda,Tribute,2002,SUV,255000.0,2000.0,Petrol,Manual,3990.0,19,13421.052631578948,0,3,
Chevrolet,Volt,2011,Hatchback,190000.0,1400.0,Plug-in Hybrid,Automatic,9150.0,10,19000.0,2,2,-0.024
Mercedes,GLE Coupe,2019,Crossover,24000.0,3000.0,Petrol,Automatic,51000.0,2,12000.0,1,1,-0.013
Volkswagen,Passat,2002,Universal,270000.0,1800.0,Petrol,Manual,2550.0,19,14210.526315789471,0,0,-0.61
Volkswagen,Touareg,2010,SUV,235000.0,3000.0,Diesel,Automatic,20950.0,11,21363.636363636364,0,2,0.594
BMW,5 Series,2000,Sedan,254604.0,2500.0,Petrol,Manual,4500.0,21,12124.0,0,0,-0.563
Renault,Megane,2009,Universal,165000.0,1500.0,Diesel,Manual,4999.0,12,13750.0,2,0,-0.11
Toyota,C-HR,2017,Crossover,115000.0,1800.0,Hybrid,Automatic,17999.0,4,28750.0,1,2,0.007
BMW,7 Series,1998,Sedan,350000.0,3500.0,Petrol,Manual,3990.0,23,15217.391304347826,0,0,-0.768
Mercedes,E Class,2012,Sedan,150000.0,2500.0,Diesel,Automatic,14490.0,9,16666.666666666668,2,2,0.333
Audi,A7,2018,Hatchback,31091.0,3000.0,Petrol,Automatic,35500.0,3,10363.666666666666,1,2,0.458
Renault,Clio,2006,Hatchback,280000.0,1461.0,Diesel,Manual,4299.0,15,18666.666666666668,0,0,-0.075
Citroen,C3,2012,Hatchback,145000.0,1400.0,Diesel,Automatic,6899.0,9,16111.111111111111,1,2,0.765
Audi,A6,1997,Sedan,29800.0,2400.0,Metan/Propan,Manual,2750.0,24,1241.6666666666667,1,0,-0.726
Ford,Fusion,2013,Sedan,178000.0,2000.0,Hybrid,Automatic,9290.0,8,22250.0,2,2,-0.084
Toyota,Prius,2014,Sedan,140000.0,800.0,Plug-in Hybrid,Automatic,11200.0,7,20000.0,1,2,0.354
Volkswagen,Vento,1993,Sedan,300000.0,1800.0,Petrol,Manual,1700.0,28,10714.285714285714,0,0,-0.298
Renault,Captur,2017,Crossover,129000.0,1500.0,Diesel,Automatic,10990.0,4,32250.0,1,2,0.157
Lexus,CT Series,2012,Hatchback,193000.0,1800.0,Hybrid,Automatic,10950.0,9,21444.444444444445,2,2,-0.043
Volvo,XC60,2010,SUV,202000.0,2400.0,Diesel,Automatic,14750.0,11,18363.636363636364,2,2,-0.196
Dacia,Dokker,2013,Minivan,209000.0,1500.0,Diesel,Manual,5750.0,8,26125.0,2,2,-0.149
Hyundai,i30,2010,Hatchback,145000.0,1400.0,Petrol,Manual,4750.0,11,13181.818181818182,1,0,-0.238
Lexus,CT Series,2012,Hatchback,194000.0,1800.0,Hybrid,Automatic,9999.0,9,21555.555555555555,2,2,-0.126
Volvo,XC90,2008,SUV,249000.0,2400.0,Diesel,Manual,11500.0,13,19153.846153846152,0,2,-0.394
Hyundai,Getz,2008,Hatchback,142000.0,1100.0,Petrol,Manual,3499.0,13,10923.076923076924,1,0,0.27
Mercedes,A Class,2005,Hatchback,260000.0,1500.0,Metan/Propan,Automatic,4750.0,16,16250.0,0,0,-0.143
Mercedes,C Class,2002,Coupe,240000.0,2300.0,Petrol,Manual,3499.0,19,12631.578947368422,0,0,-0.596
Jaguar,Xf,2012,Sedan,120000.0,2200.0,Diesel,Automatic,15999.0,9,13333.333333333334,1,5,
Mercedes,E Class,2010,Sedan,182000.0,1800.0,Petrol,Automatic,11750.0,11,16545.454545454544,2,2,0.081
Skoda,Octavia,2005,Universal,300000.0,2000.0,Petrol,Manual,4999.0,16,18750.0,0,0,-0.37
Opel,Astra,2008,Universal,310000.0,1300.0,Diesel,Manual,4850.0,13,23846.153846153848,0,0,0.099
Skoda,Superb,2014,Sedan,186000.0,1600.0,Diesel,Automatic,12300.0,7,26571.42857142857,2,2,-0.074
Volkswagen,Amarok,2011,Pickup,150000.0,2000.0,Diesel,Manual,12800.0,10,15000.0,2,2,-0.343
Mercedes,Vito,2000,Minivan,258000.0,2200.0,Diesel,Automatic,2999.0,21,12285.714285714286,0,0,-0.623
Nissan,Qashqai,2016,Crossover,151000.0,1500.0,Diesel,Manual,13890.0,5,30200.0,2,2,0.284
BMW,5 Series,2018,Sedan,46000.0,2000.0,Petrol,Automatic,27650.0,3,15333.333333333334,1,2,1.687
Renault,Megane,2010,Universal,257110.0,1500.0,Diesel,Manual,4999.0,11,23373.636363636364,0,0,-0.11
Ford,Mondeo,2016,Sedan,167000.0,1500.0,Diesel,Manual,12990.0,5,33400.0,2,2,0.824
Toyota,C-HR,2018,Crossover,114000.0,1800.0,Hybrid,Automatic,16750.0,3,38000.0,1,2,-0.063
Nissan,Qashqai,2017,Crossover,157600.0,1500.0,Diesel,Manual,11990.0,4,39400.0,2,2,0.109
Toyota,Auris,2014,Universal,190000.0,1800.0,Hybrid,Automatic,8990.0,7,27142.85714285714,2,2,0.093
Toyota,C-HR,2017,Crossover,119000.0,1800.0,Hybrid,Automatic,18790.0,4,29750.0,1,2,0.051
Peugeot,3008,2018,Crossover,145000.0,1500.0,Diesel,Automatic,16790.0,3,48333.333333333336,1,5,
Renault,Kadjar,2016,Crossover,150200.0,1500.0,Diesel,Automatic,13450.0,5,30040.0,2,2,0.021
Lexus,NX Series,2015,SUV,149000.0,2500.0,Hybrid,Automatic,21750.0,6,24833.33333333333,2,2,-0.188
Volkswagen,Passat,2006,Sedan,216000.0,2000.0,Petrol,Automatic,5350.0,15,14400.0,0,2,-0.181
Infiniti,Q Series,2016,Crossover,88000.0,1500.0,Diesel,Automatic,15790.0,5,17600.0,1,5,
Volkswagen,Passat,2007,Universal,320000.0,1600.0,Metan/Propan,Manual,5999.0,14,22857.14285714286,0,2,-0.082
Hyundai,Matrix,2006,Hatchback,298000.0,1500.0,Diesel,Manual,2999.0,15,19866.666666666668,0,0,-0.012
Honda,Civic,2017,Hatchback,27138.0,1500.0,Petrol,Automatic,13300.0,4,6784.5,1,2,1.295
Renault,Kadjar,2016,Crossover,140000.0,1500.0,Diesel,Automatic,12400.0,5,28000.0,1,2,-0.058
Skoda,Octavia,2012,Sedan,166000.0,1600.0,Diesel,Automatic,8990.0,9,18444.444444444445,2,2,0.134
Skoda,Superb,2009,Sedan,223000.0,2000.0,Diesel,Automatic,8990.0,12,18583.33333333333,0,2,-0.323
Toyota,Corolla,2006,Universal,198563.0,1400.0,Diesel,Automatic,5350.0,15,13237.533333333333,2,2,-0.062
Volvo,S80,2000,Sedan,202698.0,2800.0,Petrol,Automatic,3999.0,21,9652.285714285714,2,0,-0.448
Land Rover,Freelander,2000,SUV,230000.0,2000.0,Diesel,Manual,2750.0,21,10952.380952380952,0,0,-0.649
BMW,5 Series,2018,Sedan,82000.0,2000.0,Diesel,Automatic,34000.0,3,27333.33333333333,1,2,2.304
Volkswagen,Passat,1995,Universal,250369.0,1800.0,Petrol,Manual,2700.0,26,9629.576923076924,0,0,-0.587
KIA,Magentis,2005,Sedan,250632.0,2000.0,Metan/Propan,Manual,2690.0,16,15664.5,0,3,
Seat,Inca,1998,Combi,300000.0,1900.0,Diesel,Manual,1450.0,23,13043.478260869566,0,3,
Skoda,Fabia,2012,Minivan,165500.0,1200.0,Diesel,Manual,5100.0,9,18388.88888888889,2,2,0.055
Mitsubishi,Outlander,2011,SUV,248000.0,2000.0,Petrol,Automatic,9900.0,10,24800.0,0,2,-0.128
Ford,Focus,2016,Universal,170000.0,1499.0,Diesel,Manual,8890.0,5,34000.0,2,2,0.418
Renault,Megane,2008,Universal,245000.0,1500.0,Diesel,Manual,3600.0,13,18846.153846153848,0,0,-0.359
Honda,Civic,1999,Universal,290000.0,1500.0,Petrol,Manual,1800.0,22,13181.818181818182,0,0,-0.689
Hyundai,Tucson,2014,Crossover,120000.0,200.0,Metan/Propan,Automatic,12000.0,7,17142.85714285714,1,2,-0.079
Renault,Clio Symbol,2007,Sedan,211000.0,1400.0,Petrol,Manual,2900.0,14,15071.42857142857,2,0,0.075
Audi,A4,2012,Sedan,166700.0,2000.0,Petrol,Automatic,10200.0,9,18522.222222222223,2,2,0.275
Audi,A3 e-tron,2016,Hatchback,145000.0,1400.0,Electric,Automatic,16450.0,5,29000.0,1,5,
Lexus,CT Series,2014,Sedan,81700.0,1800.0,Hybrid,Automatic,12450.0,7,11671.42857142857,1,2,0.088
Toyota,Auris,2013,Universal,142865.0,1400.0,Diesel,Manual,8700.0,8,17858.125,1,2,0.057
Vaz,2107,2007,Sedan,135865.0,1400.0,Petrol,Manual,1500.0,14,9704.642857142857,1,0,-0.636
Renault,Grand Scenic,2013,Minivan,181000.0,1500.0,Diesel,Automatic,7000.0,8,22625.0,2,2,-0.003
Skoda,Octavia,2014,Universal,155000.0,1400.0,Petrol,Automatic,9700.0,7,22142.85714285714,2,2,0.223
Skoda,Octavia,2015,Sedan,164000.0,1600.0,Diesel,Automatic,12750.0,6,27333.33333333333,2,2,0.608
Volkswagen,Scirocco,2010,Coupe,150589.0,1400.0,Petrol,Manual,7999.0,11,13689.90909090909,2,5,
Ford,Focus,2015,Universal,152523.0,1500.0,Diesel,Automatic,9300.0,6,25420.5,2,2,0.484
Opel,Astra,2007,Universal,190000.0,1300.0,Diesel,Manual,4499.0,14,13571.42857142857,2,0,0.019
Toyota,Avensis,2014,Universal,165000.0,2000.0,Diesel,Manual,15600.0,7,23571.42857142857,2,2,1.203
BMW,7 Series,2006,Sedan,260000.0,3000.0,Diesel,Automatic,11000.0,15,17333.333333333332,0,2,-0.361
Toyota,Auris,2011,Hatchback,182251.0,1798.0,Hybrid,Automatic,8200.0,10,18225.1,2,2,-0.003
Fiat,Grande Punto,2008,Hatchback,185000.0,1300.0,Diesel,Automatic,3600.0,13,14230.76923076923,2,3,
Chevrolet,Aveo,2012,Hatchback,187000.0,1300.0,Diesel,Manual,4600.0,9,20777.777777777777,2,0,0.25
Renault,Megane,2005,Sedan,190000.0,1500.0,Diesel,Manual,3200.0,16,11875.0,2,0,-0.43
Suzuki,Grand Vitara,2005,SUV,400000.0,2700.0,Petrol,Automatic,5500.0,16,25000.0,0,2,0.099
Volkswagen,Golf,2010,Hatchback,225550.0,2000.0,Petrol,Automatic,9650.0,11,20504.545454545456,0,2,0.685
Daewoo,Kalos,2003,Hatchback,220000.0,1400.0,Petrol,Manual,2000.0,18,12222.222222222224,0,3,
Nissan,Almera,2003,Hatchback,90000.0,1500.0,Petrol,Manual,1000.0,18,5000.0,1,0,-0.539
Renault,Grand Scenic,2013,Minivan,165000.0,1500.0,Diesel,Manual,7500.0,8,20625.0,2,2,0.068
Honda,Clarity,2018,Hatchback,36000.0,1500.0,Plug-in Hybrid,Automatic,18499.0,3,12000.0,1,5,
Toyota,Verso,2015,Minivan,102000.0,1800.0,Petrol,Automatic,12500.0,6,17000.0,1,2,0.254
BMW,5 Series,2004,Sedan,2899.0,2500.0,Petrol,Manual,6100.0,17,170.52941176470588,1,2,-0.407
Mitsubishi,Outlander,2003,Crossover,208367.0,2000.0,Petrol,Manual,4600.0,18,11575.944444444443,2,0,-0.595
Volkswagen,Touran,2011,Minivan,168000.0,1400.0,Petrol,Manual,7999.0,10,16800.0,2,2,0.188
Toyota,Prius Prime,2019,Hatchback,2500.0,1800.0,Plug-in Hybrid,Automatic,18999.0,2,1250.0,1,5,
Volkswagen,Transporter,2004,Microvan,190000.0,1896.0,Diesel,Manual,6300.0,17,11176.470588235294,2,2,0.056
Skoda,Octavia,2011,Universal,210000.0,1400.0,Petrol,Manual,6400.0,10,21000.0,2,2,-0.193
Other,MKZ,2014,Sedan,160000.0,2000.0,Hybrid,Automatic,12200.0,7,22857.14285714286,2,2,-0.178
Renault,Scenic,2004,Universal,180000.0,1500.0,Diesel,Manual,3300.0,17,10588.235294117649,2,0,-0.4
Mercedes,Series (W123),1984,Universal,100000.0,2400.0,Diesel,Manual,1000.0,37,2702.7027027027025,1,3,
Toyota,Land Cruiser Prado,2007,Crossover,202000.0,2700.0,Metan/Propan,Automatic,14600.0,14,14428.57142857143,2,2,-0.232
Volkswagen,Polo,2017,Hatchback,170000.0,1422.0,Diesel,Manual,8200.0,4,42500.0,2,2,0.797
Volkswagen,Jetta,2013,Sedan,198000.0,1400.0,Hybrid,Automatic,8400.0,8,24750.0,2,2,0.08
KIA,Rio,2004,Universal,183454.0,1300.0,Petrol,Manual,2500.0,17,10791.411764705885,2,0,-0.292
BMW,X6,2013,Crossover,104000.0,2979.0,Petrol,Automatic,30900.0,8,13000.0,1,2,0.045
Toyota,Corolla,2006,Hatchback,119000.0,1600.0,Petrol,Automatic,5700.0,15,7933.333333333333,1,2,-0.0
Opel,Corsa,2007,Hatchback,283000.0,1300.0,Diesel,Manual,3499.0,14,20214.285714285717,0,0,-0.042
Toyota,Auris,2017,Hatchback,146000.0,1800.0,Hybrid,Automatic,11900.0,4,36500.0,2,2,0.446
Nissan,Qashqai,2009,Crossover,202000.0,1990.0,Petrol,Manual,7100.0,12,16833.333333333332,2,2,-0.344
Ford,C-Max,2016,Microvan,141000.0,1500.0,Diesel,Manual,9000.0,5,28200.0,1,2,0.186
Renault,Megane,2013,Minivan,220000.0,1500.0,Diesel,Manual,5000.0,8,27500.0,0,0,-0.11
Renault,Grand Scenic,2008,Hatchback,232012.0,1500.0,Diesel,Manual,3700.0,13,17847.076923076922,0,0,-0.473
KIA,Sorento,2018,SUV,38999.0,2000.0,Diesel,Automatic,24800.0,3,12999.666666666666,1,2,0.761
Nissan,Qashqai,2014,Crossover,219000.0,1500.0,Diesel,Manual,10999.0,7,31285.714285714286,0,2,0.017
Land Rover,Freelander,2007,SUV,300000.0,2200.0,Diesel,Automatic,9200.0,14,21428.571428571428,0,2,0.174
Mazda,626,1994,Sedan,300000.0,200.0,Metan/Propan,Manual,18000.0,27,11111.111111111111,0,2,7.335
Toyota,Prius,2011,Hatchback,121000.0,1800.0,Hybrid,Automatic,7900.0,10,12100.0,1,2,-0.045
Hyundai,Matrix,2004,Universal,250000.0,1500.0,Diesel,Manual,4000.0,17,14705.882352941177,0,0,0.318
Toyota,Auris,2014,Universal,200000.0,1390.0,Diesel,Manual,8600.0,7,28571.42857142857,2,2,0.045
Audi,Q5,2013,SUV,143000.0,2000.0,Petrol,Automatic,17850.0,8,17875.0,1,2,-0.086
Volkswagen,Caddy,2013,Universal,174000.0,2000.0,Diesel,Manual,9650.0,8,21750.0,2,2,0.714
Volkswagen,Golf,2009,Universal,200000.0,1400.0,Petrol,Manual,4800.0,12,16666.666666666668,2,0,-0.162
Nissan,Qashqai,2007,Crossover,137660.0,1500.0,Diesel,Manual,6600.0,14,9832.857142857143,1,2,-0.39
Opel,Astra,2011,Universal,213548.0,1300.0,Diesel,Manual,5650.0,10,21354.8,2,2,0.28
Toyota,Yaris,2006,Sedan,193096.0,1500.0,Petrol,Manual,3700.0,15,12873.066666666668,2,0,-0.312
Opel,Calibra,1992,Coupe,400000.0,2000.0,Metan/Propan,Manual,1600.0,29,13793.103448275862,0,3,
Renault,Kadjar,2016,Crossover,150425.0,1500.0,Diesel,Automatic,14990.0,5,30085.0,2,2,0.138
Ford,Fusion,2018,Sedan,105000.0,2000.0,Hybrid,Automatic,15000.0,3,35000.0,1,2,0.479
Volkswagen,Passat,2000,Combi,191000.0,1800.0,Metan/Propan,Automatic,3850.0,21,9095.238095238095,2,0,-0.411
Renault,Clio,1998,Hatchback,129448.0,1600.0,Petrol,Automatic,2399.0,23,5628.173913043478,1,0,-0.484
Renault,Grand Espace,2015,Minivan,168000.0,1600.0,Diesel,Automatic,18650.0,6,28000.0,2,5,
BMW,3 Series,1994,Sedan,180000.0,1600.0,Petrol,Manual,2400.0,27,6666.666666666667,2,0,-0.654
Skoda,Yeti,2015,Crossover,150000.0,1400.0,Petrol,Automatic,11000.0,6,25000.0,2,2,0.387
Land Rover,Discovery,2007,SUV,223000.0,2700.0,Diesel,Automatic,15000.0,14,15928.57142857143,0,2,-0.316
Volkswagen,Sharan,2011,Universal,141000.0,1400.0,Petrol,Manual,9800.0,10,14100.0,1,2,0.491
Volkswagen,Passat,2003,Sedan,250000.0,1922.0,Diesel,Automatic,4600.0,18,13888.888888888889,0,0,-0.296
Mercedes,E Class,2006,Sedan,250000.0,2200.0,Diesel,Automatic,9999.0,15,16666.666666666668,0,2,-0.08
Opel,Astra,2011,Universal,176000.0,1300.0,Diesel,Manual,6000.0,10,17600.0,2,2,0.359
Renault,Grand Scenic,2014,Universal,167000.0,1500.0,Diesel,Automatic,8600.0,7,23857.14285714286,2,2,0.225
BMW,7 Series,2008,Sedan,387000.0,300.0,Petrol,Automatic,12000.0,13,29769.23076923077,0,2,-0.303
BMW,7 Series,2011,Sedan,180000.0,2999.0,Diesel,Automatic,22000.0,10,18000.0,2,2,0.279
Peugeot,807,2006,Minivan,170000.0,2000.0,Diesel,Automatic,2000.0,15,11333.333333333334,2,3,
Honda,CR-V,2013,SUV,178500.0,2200.0,Diesel,Manual,15700.0,8,22312.5,2,2,0.255
Skoda,Superb,2012,Sedan,265000.0,1800.0,Petrol,Automatic,8999.0,9,29444.444444444445,0,2,-0.322
Mercedes,E Class,2002,Sedan,331200.0,2200.0,Diesel,Automatic,6399.0,19,17431.57894736842,0,2,-0.411
Skoda,Superb,2017,Sedan,120000.0,1999.0,Petrol,Automatic,23900.0,4,30000.0,1,2,0.8
Volkswagen,Jetta,2013,Sedan,110000.0,1400.0,Hybrid,Automatic,8000.0,8,13750.0,1,2,0.029
Hyundai,ix35,2010,Pickup,190000.0,2000.0,Diesel,Automatic,12000.0,11,17272.727272727272,2,2,0.013
Toyota,Prius c,2014,Hatchback,144947.0,1496.0,Hybrid,Automatic,7499.0,7,20706.714285714286,1,5,
Renault,Grand Scenic,2012,Universal,180000.0,1500.0,Diesel,Manual,7499.0,9,20000.0,2,2,0.068
BMW,X5,2012,SUV,157000.0,3000.0,Petrol,Automatic,17499.0,9,17444.444444444445,2,2,-0.086
Renault,Talisman,2016,Sedan,151130.0,1500.0,Diesel,Manual,12499.0,5,30226.0,2,2,-0.033
Renault,Megane,2006,Universal,170000.0,2000.0,Metan/Propan,Manual,2900.0,15,11333.333333333334,2,0,-0.484
Nissan,Juke,2011,SUV,155000.0,1600.0,Petrol,Automatic,9300.0,10,15500.0,2,2,0.015
Subaru,Trezia,2011,Hatchback,116000.0,1400.0,Diesel,Automatic,7300.0,10,11600.0,1,2,0.115
Dacia,Logan,2007,Sedan,185000.0,1500.0,Diesel,Manual,3400.0,14,13214.285714285714,2,0,-0.005
Nissan,X-Trail,2015,SUV,124000.0,1600.0,Diesel,Automatic,13000.0,6,20666.666666666668,1,2,0.212
Mercedes,C Class,2015,Universal,222000.0,2000.0,Plug-in Hybrid,Automatic,17500.0,6,37000.0,0,2,1.02
Toyota,Rav 4,2016,Crossover,133494.0,2494.0,Hybrid,Automatic,21500.0,5,26698.8,1,2,0.613
Mercedes,S Class,2001,Sedan,250830.0,4000.0,Diesel,Automatic,4700.0,20,12541.5,0,0,-0.737
Other,on-DO,2016,Sedan,150000.0,1596.0,Metan/Propan,Manual,3200.0,5,30000.0,2,3,
